average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
6.0,122,5337,1983,6777
6.0,122,5337,3817,6778
6.0,122,5338,3177,6777
6.0,122,5337,3125,6778
6.0,123,5338,3709,6778
6.0,123,5338,3325,6778
6.0,122,5337,2078,6777
6.0,122,5337,889,6778
6.0,123,5338,3944,6780
6.0,123,5338,2259,6778
7.0,120,5335,3530,120
6.0,122,5337,3691,6777
6.0,122,5337,3579,6777
6.0,123,5338,3475,6778
6.0,122,5337,3031,6777
6.0,122,5337,1457,6778
6.0,122,5337,3029,6778
6.0,122,5337,2944,6777
7.0,120,5334,4083,120
6.0,124,5339,626,6779
6.0,123,5338,3573,6780
6.0,122,5337,4027,6778
6.0,122,5337,2895,6777
6.0,121,5336,3255,6776
6.0,121,5336,1786,6776
7.0,120,5336,4031,120
6.0,121,5336,4083,6776
6.0,123,5338,3221,6780
6.0,124,5339,2993,6779
6.0,123,5338,1920,6780
6.0,123,5338,1697,6778
6.0,122,5337,1282,6777
6.0,123,5338,4069,6780
6.0,122,5337,3573,6777
6.0,123,5338,3489,6780
6.0,123,5338,2007,6780
6.0,122,5338,3667,6778
6.0,122,5337,3717,6778
6.0,121,5335,2013,6776
6.0,123,5338,2943,6780
6.0,122,5337,2701,6778
6.0,123,5338,3415,6780
6.0,122,5337,2357,6777
6.0,124,5339,3054,6782
6.0,123,5338,1975,6778
7.0,120,5335,2609,120
6.0,122,5338,3033,6777
6.0,121,5336,1723,6776
6.0,123,5338,3321,6780
6.0,122,5337,2335,6777
7.0,120,5335,4069,120
6.0,124,5339,4083,6782
6.0,123,5338,4033,6778
6.0,124,5339,4027,6779
6.0,122,5337,2414,6777
6.0,123,5338,2159,6778
6.0,123,5338,1645,6780
6.0,122,5337,3909,6778
7.0,120,5335,3031,120
6.0,121,5336,1787,6776
6.0,122,5337,3047,6777
7.0,120,5334,3927,120
6.0,122,5337,993,6777
6.0,124,5339,2893,6779
6.0,122,5337,1941,6777
6.0,122,5337,3949,6778
6.0,122,5337,3829,6777
6.0,123,5338,4081,6778
6.0,123,5338,3971,6778
6.0,121,5335,263,6776
6.0,122,5337,4059,6778
6.0,123,5338,2667,6780
6.0,121,5336,2797,6776
6.0,122,5337,2931,6778
7.0,120,5335,3977,120
6.0,122,5337,3467,6778
6.0,122,5337,2241,6777
6.0,122,5336,2871,6778
7.0,120,5334,1693,120
6.0,122,5337,1007,6777
6.0,123,5338,3343,6778
7.0,120,5335,3447,120
6.0,122,5336,3874,6777
6.0,122,5337,3573,6778
6.0,123,5338,2493,6778
6.0,123,5338,3895,6780
6.0,121,5336,765,6776
6.0,121,5336,4040,6776
7.0,120,5335,3447,120
6.0,122,5337,2519,6778
6.0,123,5338,1689,6778
6.0,121,5336,3991,6776
6.0,122,5337,3829,6777
6.0,122,5337,1915,6777
6.0,122,5337,1915,6777
7.0,120,5335,3765,120
6.0,122,5337,2421,6777
6.0,123,5338,585,6778
7.0,120,5335,1865,120
6.0,122,5337,4041,6778
